Date,Description,Amount,Balance
9/19/2023 03:21PM,Panther Grocery 74,-0.99,1432.20
9/19/2023 11:51AM,Panther Grocery 74,-5.58,1433.19
9/19/2023 09:05AM,Panther Grocery 74,-3.54,1438.77
9/18/2023 06:44PM,Panther Grocery 74,-5.68,1442.31
9/18/2023 01:14PM,Panther Grocery 74,-4.29,1447.99
9/18/2023 10:02AM,Panther Grocery 74,-3.29,1452.28
9/17/2023 06:06PM,Panther Grocery 74,-5.68,1455.57
9/17/2023 01:51PM,Panther Grocery 74,-3.79,1461.25
9/17/2023 11:01AM,Panther Grocery 74,-9.17,1465.04
9/16/2023 05:33PM,Panther Grocery 74,-6.97,1474.21
9/16/2023 03:31PM,Panther Grocery 74,-5.08,1481.18
9/16/2023 09:52AM,Panther Grocery 74,-3.54,1486.26
9/15/2023 12:52PM,Panther Grocery 74,-4.29,1489.80
9/15/2023 10:03AM,Panther Grocery 74,-3.54,1494.09
9/14/2023 06:32PM,Panther Grocery 74,-5.68,1497.63
9/14/2023 03:20PM,Panther Grocery 74,-0.99,1503.31
9/14/2023 12:07PM,Panther Grocery 74,-4.29,1504.30
9/14/2023 09:02AM,Panther Grocery 74,-4.83,1508.59
9/13/2023 08:14PM,Panther Grocery 74,-5.68,1513.42
9/13/2023 03:55PM,Panther Grocery 74,-4.29,1519.10
9/12/2023 08:40PM,Panther Grocery 74,-5.68,1523.39
9/12/2023 11:06AM,Center Court 76,-7.29,1529.07
9/12/2023 09:06AM,Panther Grocery 74,-3.54,1536.36
9/11/2023 07:30PM,Panther Grocery 74,-2.04,1539.90
9/11/2023 07:17PM,Panther Grocery 74,-5.18,1541.94
9/11/2023 01:16PM,Panther Grocery 74,-4.29,1547.12
9/11/2023 08:35AM,Panther Grocery 74,-3.54,1551.41
9/10/2023 06:01PM,Panther Dining 70 WS6,-10.50,1554.95
9/10/2023 01:35PM,Panther Grocery 74,-4.29,1565.45
9/10/2023 09:20AM,Panther Grocery 74,-3.54,1569.74
9/09/2023 05:37PM,Panther Grocery 74,-5.68,1573.28
9/09/2023 12:50PM,Panther Grocery 74,-4.29,1578.96
9/09/2023 10:07AM,Panther Grocery 74,-7.72,1583.25
9/08/2023 09:53PM,Rat Main Line 83,-4.67,1590.97
9/08/2023 05:16PM,Panther Grocery 74,-7.67,1595.64
9/08/2023 01:07PM,UGRYD 5900 Vending,-1.95,1603.31
9/08/2023 12:46PM,Panther Grocery 74,-6.08,1605.26
9/08/2023 08:39AM,Panther Grocery 74,-3.54,1611.34
9/07/2023 07:38PM,Panther Grocery 74,-9.38,1614.88
9/07/2023 07:07PM,Panther Grocery 74,-5.68,1624.26
9/07/2023 03:20PM,Panther Grocery 74,-0.99,1629.94
9/07/2023 12:10PM,Panther Grocery 74,-4.29,1630.93
9/07/2023 09:15AM,Panther Grocery 74,-4.58,1635.22
9/06/2023 08:16PM,UGRYD 5900 Vending,-2.00,1639.80
9/06/2023 06:26PM,Panther Grocery 74,-5.68,1641.80
9/06/2023 12:29PM,Panther Grocery 74,-4.58,1647.48
9/06/2023 08:37AM,Panther Grocery 74,-4.83,1652.06
9/05/2023 07:54PM,Panther Grocery 74,-5.68,1656.89
9/05/2023 03:20PM,Panther Grocery 74,-0.99,1662.57
9/05/2023 12:03PM,Panther Grocery 74,-6.68,1663.56
9/05/2023 09:06AM,Panther Grocery 74,-3.54,1670.24
9/04/2023 12:03PM,Panther Dining 70 WS6,-9.50,1673.78
9/04/2023 10:22AM,Panther Grocery 74,-3.54,1683.28
9/03/2023 02:51PM,Panther Grocery 74,-4.29,1686.82
9/03/2023 10:13AM,Panther Grocery 74,-7.12,1691.11
9/02/2023 07:11PM,Panther Grocery 74,-5.68,1698.23
9/02/2023 02:14PM,Panther Grocery 74,-6.68,1703.91
9/02/2023 10:25AM,Panther Grocery 74,-6.27,1710.59
9/01/2023 05:22PM,Panther Grocery 74,-8.37,1716.86
9/01/2023 12:47PM,Panther Grocery 74,-6.68,1725.23
9/01/2023 08:30AM,Panther Grocery 74,-3.54,1731.91
8/31/2023 06:11PM,Panther Grocery 74,-6.58,1735.45
8/31/2023 12:45PM,Panther Grocery 72,-8.06,1742.03
8/31/2023 09:02AM,Panther Grocery 74,-3.54,1750.09
8/30/2023 12:44PM,AERO Einstein Bagels 92,-6.49,1753.63
8/30/2023 08:35AM,Panther Grocery 74,-3.54,1760.12
8/29/2023 07:32PM,Panther Grocery 74,-5.68,1763.66
8/29/2023 03:20PM,Panther Grocery 74,-0.99,1769.34
8/29/2023 11:00AM,Panther Grocery 74,-6.37,1770.33
8/29/2023 09:04AM,Panther Grocery 74,-3.54,1776.70
8/28/2023 07:34PM,Panther Grocery 74,-5.18,1780.24
8/28/2023 01:11PM,Panther Grocery 74,-6.98,1785.42
8/28/2023 08:26AM,Panther Grocery 74,-3.54,1792.40
8/27/2023 06:04PM,Panther Dining 70 WS6,-10.50,1795.94
8/27/2023 02:06PM,Panther Grocery 74,-5.08,1806.44
8/27/2023 10:13AM,Panther Grocery 74,-4.58,1811.52
8/26/2023 07:48PM,Panther Grocery 74,-10.06,1816.10
8/26/2023 10:34AM,Panther Grocery 74,-3.29,1826.16
8/25/2023 08:10PM,Panther Grocery 74,-5.68,1829.45
8/25/2023 12:30PM,Panther Grocery 74,-6.98,1835.13
8/25/2023 08:17AM,Panther Grocery 74,-3.54,1842.11
8/24/2023 07:30PM,Panther Grocery 74,-5.68,1845.65
8/24/2023 03:19PM,Panther Grocery 74,-0.99,1851.33
8/24/2023 12:04PM,Panther Grocery 74,-4.29,1852.32
